epoch,train_loss,train_acc,val_loss,val_acc
0,3.3468775749206543,0.015625,3.3076798915863037,0.046875
1000,3.2112433910369873,0.0625,3.177168369293213,0.0625
2000,3.1787707805633545,0.125,3.1658096313476562,0.0625
3000,3.135648488998413,0.046875,3.0508790016174316,0.078125
4000,2.935469150543213,0.140625,2.9626381397247314,0.15625
5000,2.9294135570526123,0.15625,2.8318605422973633,0.171875
6000,2.883199453353882,0.21875,2.902290105819702,0.109375
7000,2.980494260787964,0.125,2.884835720062256,0.125
8000,2.902587413787842,0.125,2.875671863555908,0.1875
9000,2.8612968921661377,0.109375,2.8824331760406494,0.171875
10000,2.118657112121582,0.359375,2.163614511489868,0.34375
11000,0.972733736038208,0.765625,1.4500243663787842,0.546875
12000,1.0870203971862793,0.6875,0.7636444568634033,0.78125
13000,0.3479599058628082,0.90625,0.406821072101593,0.890625
14000,0.2571955621242523,0.9375,0.3147396445274353,0.90625
15000,0.05042537301778793,0.984375,0.11935479938983917,0.96875
16000,0.13522446155548096,0.96875,0.0017349370755255222,1.0
17000,0.04770141467452049,0.984375,0.002554435981437564,1.0
18000,0.0676250010728836,0.984375,0.029237745329737663,1.0
19000,0.0006080197636038065,1.0,0.10049435496330261,0.96875
20000,0.0005585741018876433,1.0,0.001438712002709508,1.0
